"region","area_sq_km"
"48_-88",2850.84725080489
"48_-89",7076.5626614563
"48_-90",8215.77633794
"48_-91",8217.57967305
"48_-92",8217.57967305
"48_-93",8217.57967305
"48_-94",8215.04225002
"48_-95",8220.8007963
"48_-96",8214.495471271
"48_-97",8215.62598186229
"48_-98",8217.57967305
"48_-99",8217.57967305
"49_-100",8056.09602906315
"49_-101",8053.095855004
"49_-102",8056.09602906195
"49_-103",8058.11092179407
"49_-104",8058.39835349254
"49_-105",8056.09602906637
"49_-106",8056.09602906769
"49_-107",8056.09602907144
"49_-108",8056.09602906756
"49_-109",8056.0960290658
"49_-110",8056.0471760472
"49_-111",8056.09602906857
"49_-112",8059.7079289077
"49_-113",8053.58361848121
"49_-114",8053.3805312996
"49_-115",8058.12983598517
"49_-116",8059.47450423144
"49_-117",8058.38171695531
